ts,x,y,heading
1774511845403,103,0,S
1774511848903,103,1,S
1774511850777,103,2,S
1774511852293,103,3,S
1774511853779,103,4,S
1774511855277,103,5,S
1774511856921,103,6,S
1774511858271,103,7,S
1774511859653,103,8,S
1774511861067,103,9,S
1774511862460,103,10,S
1774511863810,103,11,S
1774511865427,103,12,S
1774511866903,103,13,S
1774511868310,103,14,S
1774511869853,103,15,S
1774511871326,103,16,S
1774511872648,103,17,S
1774511873900,103,18,S
1774511875191,103,19,S
1774511876633,103,20,S
1774511877915,103,21,S
1774511879084,103,22,S
1774511881908,103,23,S
1774511883283,103,24,S
1774511884686,103,25,S
1774511886108,103,26,S
1774511887441,103,27,S
1774511888683,103,28,S
1774511890058,103,29,S
1774511891440,103,30,S
1774511892774,103,31,S
1774511894249,103,32,S
1774511895599,103,33,S
1774511896939,103,34,S
1774511898224,103,35,S
1774511899522,103,36,S
1774511900965,103,37,S
1774511902380,103,38,S
1774511903721,103,39,S
1774511905097,103,40,S
1774511906362,103,41,S
1774511907731,103,42,S
1774511909121,103,43,S
1774511910455,103,44,S
1774511911796,103,45,S
1774511913270,103,46,S
1774511914645,103,47,S
1774511916305,103,48,S
1774511921993,102,48,W
1774511923451,101,48,W
1774511924842,100,48,W
1774511926183,99,48,W
1774511927525,98,48,W
1774511928851,97,48,W
1774511930276,96,48,W
1774511931675,95,48,W
1774511932992,94,48,W
1774511934441,93,48,W
1774511935763,92,48,W
1774511937082,91,48,W
1774511938498,90,48,W
1774511939857,89,48,W
1774511941147,88,48,W
1774511942605,87,48,W
1774511943947,86,48,W
1774511945295,85,48,W
1774511946555,84,48,W
1774511947980,83,48,W
1774511949264,82,48,W
1774511950537,81,48,W
1774511951903,80,48,W
1774511953355,79,48,W
1774511954678,78,48,W
1774511955970,77,48,W
1774511957327,76,48,W
1774511958594,75,48,W
1774511960012,74,48,W
1774511961502,73,48,W
1774511962819,72,48,W
1774511964277,71,48,W
1774511965902,70,48,W
1774511967552,69,48,W
1774511972402,69,47,N
1774511973944,69,46,N
1774511975502,69,45,N
1774511976909,69,44,N
1774511978177,69,43,N
1774511979558,69,42,N
1774511980910,69,41,N
1774511982176,69,40,N
1774511983435,69,39,N
1774511984716,69,38,N
1774511986074,69,37,N
1774511987358,69,36,N
1774511988705,69,35,N
1774511990056,69,34,N
1774511991422,69,33,N
1774511992789,69,32,N
1774511994166,69,31,N
1774511995453,69,30,N
1774511996788,69,29,N
1774511998207,69,28,N
1774511999538,69,27,N
1774512000889,69,26,N
1774512002179,69,25,N
1774512003521,69,24,N
1774512004830,69,23,N
1774512006103,69,22,N
1774512007413,69,21,N
1774512008796,69,20,N
1774512010113,69,19,N
1774512011395,69,18,N
1774512012644,69,17,N
1774512013977,69,16,N
1774512015344,69,15,N
1774512016676,69,14,N
1774512018052,69,13,N
1774512019429,69,12,N
1774512020902,69,11,N
1774512022342,69,10,N
1774512023620,69,9,N
1774512025002,69,8,N
1774512026253,69,7,N
1774512027801,69,6,N
1774512029026,69,5,N
1774512030379,69,4,N
1774512031801,69,3,N
1774512033275,69,2,N
1774512034724,69,1,N
1774512036057,69,0,N
1774512042964,68,0,W
1774512044383,67,0,W
1774512045816,66,0,W
1774512047155,65,0,W
1774512048513,64,0,W
1774512049907,63,0,W
1774512051305,62,0,W
1774512052697,61,0,W
1774512054113,60,0,W
1774512055396,59,0,W
1774512056882,58,0,W
1774512058303,57,0,W
1774512059570,56,0,W
1774512060870,55,0,W
1774512062334,54,0,W
1774512063844,53,0,W
1774512065219,52,0,W
1774512067418,51,0,W
1774512068678,50,0,W
1774512069994,49,0,W
1774512071260,48,0,W
1774512072677,47,0,W
1774512074092,46,0,W
1774512075493,45,0,W
1774512076766,44,0,W
1774512078282,43,0,W
1774512079641,42,0,W
1774512081574,41,0,W
1774512083148,40,0,W
1774512084498,39,0,W
1774512085940,38,0,W
1774512087274,37,0,W
1774512088599,36,0,W
1774512090024,35,0,W
1774512091427,34,0,W
1774512092780,33,0,W
1774512094225,32,0,W
1774512095573,31,0,W
1774512096962,30,0,W
1774512098504,29,0,W
1774512099912,28,0,W
1774512101238,27,0,W
1774512102645,26,0,W
1774512103979,25,0,W
1774512107383,24,0,W
1774512108985,23,0,W
1774512110318,22,0,W
1774512111708,21,0,W
1774512113001,20,0,W
1774512114325,19,0,W
1774512115716,18,0,W
1774512117063,17,0,W
1774512118410,16,0,W
1774512119765,15,0,W
1774512121059,14,0,W
1774512122467,13,0,W
1774512123841,12,0,W
1774512125142,11,0,W
1774512126524,10,0,W
1774512127958,9,0,W
1774512129314,8,0,W
1774512130757,7,0,W
1774512132088,6,0,W
1774512133357,5,0,W
1774512134715,4,0,W
1774512136080,3,0,W
1774512137564,2,0,W
1774512138873,1,0,W
1774512140298,0,0,W
1774512144978,0,1,S
1774512146445,0,2,S
1774512147869,0,3,S
1774512149019,0,4,S
1774512150294,0,5,S
1774512151647,0,6,S
1774512152893,0,7,S
1774512154168,0,8,S
1774512155518,0,9,S
1774512156825,0,10,S
1774512158161,0,11,S
1774512159516,0,12,S
1774512160750,0,13,S
1774512162124,0,14,S
1774512163498,0,15,S
1774512164780,0,16,S
1774512166214,0,17,S
1774512167513,0,18,S
1774512168949,0,19,S
1774512170340,0,20,S
1774512171567,0,21,S
1774512172898,0,22,S
1774512174263,0,23,S
1774512175537,0,24,S
1774512176821,0,25,S
1774512178062,0,26,S
1774512179421,0,27,S
1774512180779,0,28,S
1774512181978,0,29,S
1774512183289,0,30,S
1774512184691,0,31,S
1774512186020,0,32,S
1774512187353,0,33,S
1774512188736,0,34,S
1774512189986,0,35,S
1774512191248,0,36,S
1774512192561,0,37,S
1774512193930,0,38,S
1774512195236,0,39,S
1774512196751,0,40,S
1774512198126,0,41,S
1774512199593,0,42,S
1774512200969,0,43,S
1774512202207,0,44,S
1774512203716,0,45,S
1774512205292,0,46,S
1774512206799,0,47,S
1774512208441,0,48,S
1774512213789,1,48,E
1774512215064,2,48,E
1774512216466,3,48,E
1774512217790,4,48,E
1774512219156,5,48,E
1774512220497,6,48,E
1774512222030,7,48,E
1774512223358,8,48,E
1774512224756,9,48,E
1774512226062,10,48,E
1774512227290,11,48,E
1774512228738,12,48,E
1774512230114,13,48,E
1774512231462,14,48,E
1774512232779,15,48,E
1774512234114,16,48,E
1774512235412,17,48,E
1774512236804,18,48,E
1774512238228,19,48,E
1774512239554,20,48,E
1774512240869,21,48,E
1774512242252,22,48,E
1774512243629,23,48,E
1774512244954,24,48,E
1774512246353,25,48,E
1774512247593,26,48,E
1774512248985,27,48,E
1774512250434,28,48,E
1774512251669,29,48,E
1774512253069,30,48,E
1774512254391,31,48,E
1774512255701,32,48,E
1774512256974,33,48,E
1774512258234,34,48,E
1774512259741,35,48,E
1774512261033,36,48,E
1774512262357,37,48,E
1774512263665,38,48,E
1774512265282,39,48,E
1774512266848,40,48,E
1774512268448,41,48,E
